text,primary_tag,all_tags
"We really need an integration with Jira so our support tickets can be automatically pushed to our developer backlog. The current dashboard is good, but adding this feature would make it perfect.",Feature Request,"Feature Request, Product Feedback"
Where are your servers located and is the data encrypted at rest? Our security team needs this for compliance review.,Data & Privacy,Data & Privacy
"The search function is excellent, but it would be even better if it cached recent search terms.",Product Feedback,Product Feedback
Can I get an invoice for my payment on last Tuesday? Our finance department needs it for accounting purposes.,Billing & Payments,Billing & Payments
It would be great to have role-based access control (RBAC) where we can define custom permissions for viewers and editors.,Feature Request,Feature Request
It would be great to have role-based access control (RBAC) where we can define custom permissions for viewers and editors.,Feature Request,Feature Request
Just wanted to say that your support team was incredibly helpful yesterday. Quick and friendly response!,Product Feedback,Product Feedback
"I am getting an 'unauthorized access' error when trying to view our team folder, even though I am an admin.",Account Access,Account Access
My subscription shows as inactive even though I paid yesterday. Here is my transaction ID: TXN-98231. Please resolve this.,Billing & Payments,Billing & Payments
The tool is good but the documentation lacks clear examples for advanced configurations. Please add some tutorials.,Product Feedback,Product Feedback
"It would be great to have role-based access control (RBAC) where we can define custom permissions for viewers and editors. The current dashboard is good, but adding this feature would make it perfect.",Feature Request,"Feature Request, Product Feedback"
I am getting a 500 Internal Server Error when clicking on the sync button. Can you look into this? I've tried clearing my cache. This issue started right after I tried to update my password in my account settings.,Technical Support,"Technical Support, Account Access"
Are there any plans to implement a dark mode? My eyes get really tired reading the screen during night shifts.,Feature Request,Feature Request
"Hello, my credit card payment failed today. How can I update my billing information to prevent my account from being suspended? Also, when I tried to pay, the screen froze and gave a database error.",Billing & Payments,"Billing & Payments, Technical Support"
I am really enjoying the new dashboard widgets. It has made tracking our metrics much easier. Thank you!,Product Feedback,Product Feedback
We really need an integration with Jira so our support tickets can be automatically pushed to our developer backlog.,Feature Request,Feature Request
"Please delete my account and permanently purge all my data, including my chat logs and file attachments.",Data & Privacy,Data & Privacy
Could you support SSO (Single Sign-On) via Okta? Our enterprise security policy requires this for all tools.,Feature Request,Feature Request
My account has been locked due to too many failed login attempts. Can you unlock my email dev-ops@startup.io? I need to resolve this quickly because our security team is auditing our user list for GDPR compliance.,Account Access,"Account Access, Data & Privacy"
Just wanted to say that your support team was incredibly helpful yesterday. Quick and friendly response!,Product Feedback,Product Feedback
